airbnb_listing_id,latitude,longitude,suburb,country,state,city,aquisition_date,dist_beach_km,comp_300m,comp_1km,micro_zone
44165747,-27.13508,-48.59791,Meia Praia,Brasil,Santa Catarina,Itapema,2021-10-25 14:40:16.352,0.3073901728000604,419,1882,Meia Praia (beach band)
45655263,-27.13,-48.604,Meia Praia,Brasil,Santa Catarina,Itapema,2021-10-25 14:40:16.352,0.4241284705741807,398,1847,Meia Praia (inland)
32644324,-27.109,-48.616,Tabuleiro dos Oliveiras,Brasil,Santa Catarina,Itapema,2021-10-25 14:40:16.352,0.3884359088490199,51,411,Tabuleiro dos Oliveiras
805120730441681952,-27.128320693969727,-48.6009407043457,Meia Praia,Brasil,Santa Catarina,Itapema,2023-03-02 13:02:00.000,0.06859033030997924,307,1824,Meia Praia (beach band)
1188339469325210376,-27.09306,-48.61326,Centro,Brasil,Santa Catarina,Itapema,2025-09-22 19:01:43.462,0.24734683181542166,240,702,Centro
553578003486746447,-27.13445,-48.596,Meia Praia,Brasil,Santa Catarina,Itapema,2022-07-11 18:11:37.000,0.11674959476162802,316,1784,Meia Praia (beach band)
51623204,-27.1028,-48.61519,Centro,Brasil,Santa Catarina,Itapema,2024-10-07 19:41:40.672,0.2182545130744984,152,566,Centro
53567582,-27.13881,-48.59217,Meia Praia,Brasil,Santa Catarina,Itapema,2022-01-11 17:08:58.877,0.09519230378270901,290,1322,Meia Praia (beach band)
53682994,-27.14069,-48.59153,Meia Praia,Brasil,Santa Catarina,Itapema,2022-01-11 17:08:58.877,0.1310933737981735,230,1122,Meia Praia (beach band)
53796581,-27.11673,-48.60955,Morretes,Brasil,Santa Catarina,Itapema,2024-10-07 19:16:23.912,0.17459245059132944,175,786,Morretes
764376917677304019,-27.1118602753,-48.6096115112,Morretes,Brasil,Santa Catarina,Itapema,2022-12-06 12:43:34.000,0.006925145512509668,33,513,Morretes
754141022905987471,-27.1267204285,-48.6050186157,Meia Praia,Brasil,Santa Catarina,Itapema,2023-01-19 12:18:27.000,0.2765344065674503,385,1693,Meia Praia (beach band)
786698298677447363,-27.1455898285,-48.5957107544,Meia Praia,Brasil,Santa Catarina,Itapema,2023-01-19 12:18:27.000,0.40955870772572195,2,814,Meia Praia (inland)
784821821299783202,-27.1419391632,-48.587928772,Meia Praia,Brasil,Santa Catarina,Itapema,2023-01-19 12:18:27.000,0.019255687921437847,132,719,Meia Praia (beach band)
784842998263544489,-27.14047,-48.59365,Meia Praia,Brasil,Santa Catarina,Itapema,2024-10-07 19:47:13.646,0.307668263773943,317,1289,Meia Praia (beach band)
790518755885066166,-27.0949993134,-48.6139984131,Centro,Brasil,Santa Catarina,Itapema,2023-01-19 12:18:27.000,0.19824179525945,247,760,Centro
673825002694927178,-27.12955,-48.60092,Meia Praia,Brasil,Santa Catarina,Itapema,2024-10-07 19:32:57.037,0.14485110723324754,429,1905,Meia Praia (beach band)
39202645,-27.12431,-48.60648,Meia Praia,Brasil,Santa Catarina,Itapema,2021-10-25 14:40:16.352,0.24386108079010257,357,1529,Meia Praia (beach band)
40489485,-27.1368598938,-48.6015014648,Meia Praia,Brasil,Santa Catarina,Itapema,2023-06-26 19:06:17.000,0.7075811880587722,156,1833,Meia Praia (inland)
673864548944219599,-27.0990606,-48.6146317,Centro,Brasil,Santa Catarina,Itapema,2022-08-15 20:53:40.000,0.1544264307667772,175,752,Centro
766523470893238581,-27.104999542236328,-48.61399841308594,Centro,Brasil,Santa Catarina,Itapema,2023-02-08 15:37:30.000,0.10017006285535787,109,461,Centro
